movie_name,featurig,genre,releasing_date
Battle for Saipan (2022),Casper Van Dien - Jeff Fahey - Louis Mandylor - Jennifer Wenger,Action :  History :  War : ,"Nov 25, 2022"
Leonor Will Never Die (2022),Sheila Francisco - Bong Cabrera - Rocky Salumbides - Anthony Falcon,Drama : ,"Nov 25, 2022"
Merrily (2022),Terry Moore - Kristine DeBell - Gildart Jackson - Teri Copley,Drama : ,"Nov 25, 2022"
Haul out the Holly (2022),Lacey Chabert - Melissa Peterman - Stephen Tobolowsky - Wes Brown,Comedy :  Fantasy :  Mystery : ,"Nov 26, 2022"
Christmas at the Holly Hotel (2022),Jesi Jensen - Joe Kurak - Kristen Ryda - Grover McCants,Romance : ,"Nov 27, 2022"
The Bachelor Murder Mystery: Who Murdered the Bachelor? (2022),Toneata Morgan - Christine Lee - Sophie Jordan Collins - Shawn Valentino,Mystery : ,"Dec 01, 2022"
Out of Hand (2022),Louise Linton - Pierson Fode - William Baldwin - Michelle Jubilee Gonzalez,Mystery : ,"Dec 01, 2022"
Catfish Christmas (2022),Leigh-Ann Rose - Tony Todd - Ella Joyce - Charlotte Evelyn Williams,Romance : ,"Dec 01, 2022"
Young Again (2022),Roger Lim - J.J. Perez - Christopher Sean - Lori McShane,Drama :  Sport : ,"Dec 01, 2022"
Días Negros: Chamula (2022),Marius Biegai - Gabriela Cartol - Domingo Manuel González Gómez - Himelda Sofia Hernandez,Drama : ,"Dec 01, 2022"
Women Talking (2022),Rooney Mara - Claire Foy - Jessie Buckley - Frances McDormand,Drama : ,"Dec 02, 2022"
Violent Night (2022),David Harbour - Beverly D'Angelo - John Leguizamo - Cam Gigandet,Action :  Comedy :  Crime : ,"Dec 02, 2022"
Marlowe (2022),Liam Neeson - Diane Kruger - Jessica Lange - Adewale Akinnuoye-Agbaje,Thriller : ,"Dec 02, 2022"
Master of Dreams (2022),Corbin Bleu - Aaron Abrams - Obba Babatundé - Cocoa Brown,Adventure :  Drama :  Mystery : ,"Dec 02, 2022"
Four Samosas (2022),Venk Potula - Sonal Shah - Sharmita Bhattacharya - Nirvan Patnaik,Action :  Comedy :  Romance : ,"Dec 02, 2022"
Bite the Ground (2022),Heather Wake - Kellen Garner - Michelle Palermo - Brian Ronalds,Western : ,"Dec 06, 2022"
The Whale (2022),Brendan Fraser - Sadie Sink - Hong Chau - Ty Simpkins,Drama : ,"Dec 09, 2022"
Empire of Light (2022),Olivia Colman - Colin Firth - Toby Jones - Ron Cook,Drama :  Romance : ,"Dec 09, 2022"
Detective Knight: Redemption (2022),Bruce Willis - Corey Large - Lochlyn Munro - Beau Mirchoff,Action :  Thriller : ,"Dec 09, 2022"
The Chernobyl Fallout (2022),Chloé Booyens - Kseniya Mishina - Vasyl Moskalenko - Oleg Drach,Horror : ,"Dec 10, 2022"
Bloody Hands (2022),Orlando Brown - Natasha Behnam - Lynn Ferguson - Brooklyn Robinson,Action :  Crime : ,"Dec 12, 2022"
Helvellyn Edge (2022),Ever Anderson - Brooklynn Prince - Amita Suman - Sam Strike,Fantasy : ,"Dec 12, 2022"
The Legend of Jack and Diane (2022),David Tomlinson - Lydia Zelmac - Tom Sizemore - Robert LaSardo,Drama :  Romance :  Thriller : ,"Dec 15, 2022"
Yes I Am: The Ric Weiland Story (2021),Bill Gates - Zachary Quinto - Gil Bar-Sela - Michael Failla,Documentary : ,"Dec 15, 2022"
Avatar: The Way of Water (2022),Sigourney Weaver - Zoe Saldana - Michelle Yeoh - Kate Winslet,Action :  Adventure :  Fantasy : ,"Dec 16, 2022"
Spoiler Alert (2022),Jim Parsons - Ben Aldridge - Sally Field - Bill Irwin,Comedy :  Drama : ,"Dec 16, 2022"
The Almond and the Seahorse (2022),Rebel Wilson - Charlotte Gainsbourg - Trine Dyrholm - Alice Lowe,Drama : ,"Dec 16, 2022"
I Wanna Dance with Somebody (2022),Stanley Tucci - Naomi Ackie - Tamara Tunie - Clarke Peters,Biography :  Drama :  Music : ,"Dec 21, 2022"
